 GRETA ( ) 
 GUE ( ) lemma=GUE  
 gabier ( NOUN NOUN_SINGULAR ) 
 gabiers ( NOUN NOUN_SINGULAR ) lemma=gabier 
 gabies ( NOUN NOUN_SINGULAR ) lemma=gabie 
 gabiez ( VERB ) lemma=gaber 
 gabion ( NOUN NOUN_SINGULAR ) 
 gabionna ( VERB_PAST VERB ) lemma=gabionner 
 gabionnade ( NOUN NOUN_SINGULAR ) 
 gabionnades ( NOUN NOUN_SINGULAR ) lemma=gabionnade 
 gabionnage ( NOUN NOUN_SINGULAR ) 
 gabionnages ( NOUN NOUN_SINGULAR ) lemma=gabionnage 
 gabionnai ( VERB_PAST VERB ) lemma=gabionner 
 gabionnaient ( VERB ) lemma=gabionner 
 gabionnais ( VERB ) lemma=gabionner 
 gabionnait ( VERB ) lemma=gabionner 
 gabionnant ( VERB_PRESENT_PARTICIPLE VERB ) lemma=gabionner 
 gabionnas ( VERB_PAST VERB ) lemma=gabionner 
 gabionnasse ( VERB ) lemma=gabionner 
 gabionnassent ( VERB ) lemma=gabionner 
 gabionnasses ( VERB ) lemma=gabionner 
 gabionnassiez ( VERB ) lemma=gabionner 
 gabionnassions ( VERB ) lemma=gabionner 
 gabionne ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gabionner 
 gabionnent ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gabionner 
 gabionner ( VERB_INFINITIVE VERB ) 
 gabionnera ( VERB ) lemma=gabionner 
 gabionnerai ( VERB ) lemma=gabionner 
 gabionneraient ( VERB ) lemma=gabionner 
 gabionnerais ( VERB ) lemma=gabionner 
 gabionnerait ( VERB ) lemma=gabionner 
 gabionneras ( VERB ) lemma=gabionner 
 gabionnerez ( VERB ) lemma=gabionner 
 gabionneriez ( VERB ) lemma=gabionner 
 gabionnerions ( VERB ) lemma=gabionner 
 gabionnerons ( VERB ) lemma=gabionner 
 gabionneront ( VERB ) lemma=gabionner 
 gabionnes ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gabionner 
 gabionneur ( NOUN NOUN_SINGULAR ) 
 gabionneurs ( NOUN NOUN_SINGULAR ) lemma=gabionneur 
 gabionnez ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gabionner 
 gabionniez ( VERB ) lemma=gabionner 
 gabionnions ( VERB ) lemma=gabionner 
 gabionnons ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gabionner 
 gabionnâmes ( VERB_PAST VERB ) lemma=gabionner 
 gabionnât ( VERB ) lemma=gabionner 
 gabionnâtes ( VERB_PAST VERB ) lemma=gabionner 
 gabionnèrent ( VERB_PAST VERB ) lemma=gabionner 
 gabionné ( VERB_PAST_PARTICIPLE VERB ) lemma=gabionner 
 gabionnée ( VERB_PAST_PARTICIPLE VERB ) lemma=gabionner 
 gabionnées ( VERB_PAST_PARTICIPLE VERB ) lemma=gabionner 
 gabionnés ( VERB_PAST_PARTICIPLE VERB ) lemma=gabionner 
 gabions ( NOUN VERB NOUN_SINGULAR ) lemma=gabion 
 gable ( NOUN NOUN_SINGULAR ) 
 gables ( NOUN NOUN_SINGULAR ) lemma=gable 
 gabonais ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 gabonaise ( NOUN ADJECTIVE NOUN_SINGULAR ) lemma=gabonais 
 gabonaises ( NOUN ADJECTIVE NOUN_SINGULAR ) lemma=gabonais 
 gabons ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gaber 
 gabord ( NOUN NOUN_SINGULAR ) 
 gabords ( NOUN NOUN_SINGULAR ) lemma=gabord 
 gaburon ( NOUN NOUN_SINGULAR ) 
 gaburons ( NOUN NOUN_SINGULAR ) lemma=gaburon 
 gabâmes ( VERB_PAST VERB ) lemma=gaber 
 gabât ( VERB ) lemma=gaber 
 gabâtes ( VERB_PAST VERB ) lemma=gaber 
 gabèrent ( VERB_PAST VERB ) lemma=gaber 
 gabé ( VERB_PAST_PARTICIPLE VERB ) lemma=gaber 
 gabée ( VERB_PAST_PARTICIPLE VERB ) lemma=gaber 
 gabées ( VERB_PAST_PARTICIPLE VERB ) lemma=gaber 
 gabés ( VERB_PAST_PARTICIPLE VERB ) lemma=gaber 
 gad'zarts ( NOUN NOUN_SINGULAR ) 
 gade ( NOUN NOUN_SINGULAR ) 
 gades ( NOUN NOUN_SINGULAR ) lemma=gade 
 gadget ( NOUN NOUN_SINGULAR ) 
 gadgets ( NOUN NOUN_SINGULAR ) lemma=gadget 
 gadgetterie ( NOUN NOUN_SINGULAR ) 
 gadgetteries ( NOUN NOUN_SINGULAR ) lemma=gadgetterie 
 gadgétisa ( VERB_PAST VERB ) lemma=gadgétiser 
 gadgétisai ( VERB_PAST VERB ) lemma=gadgétiser 
 gadgétisaient ( VERB ) lemma=gadgétiser 
 gadgétisais ( VERB ) lemma=gadgétiser 
 gadgétisait ( VERB ) lemma=gadgétiser 
 gadgétisant ( VERB_PRESENT_PARTICIPLE VERB ) lemma=gadgétiser 
 gadgétisas ( VERB_PAST VERB ) lemma=gadgétiser 
 gadgétisasse ( VERB ) lemma=gadgétiser 
 gadgétisassent ( VERB ) lemma=gadgétiser 
 gadgétisasses ( VERB ) lemma=gadgétiser 
 gadgétisassiez ( VERB ) lemma=gadgétiser 
 gadgétisassions ( VERB ) lemma=gadgétiser 
 gadgétisation ( NOUN NOUN_SINGULAR ) 
 gadgétisations ( NOUN NOUN_SINGULAR ) lemma=gadgétisation 
 gadgétise ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gadgétiser 
 gadgétisent ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gadgétiser 
 gadgétiser ( VERB_INFINITIVE VERB ) 
 gadgétisera ( VERB ) lemma=gadgétiser 
 gadgétiserai ( VERB ) lemma=gadgétiser 
 gadgétiseraient ( VERB ) lemma=gadgétiser 
 gadgétiserais ( VERB ) lemma=gadgétiser 
 gadgétiserait ( VERB ) lemma=gadgétiser 
 gadgétiseras ( VERB ) lemma=gadgétiser 
 gadgétiserez ( VERB ) lemma=gadgétiser 
 gadgétiseriez ( VERB ) lemma=gadgétiser 
 gadgétiserions ( VERB ) lemma=gadgétiser 
 gadgétiserons ( VERB ) lemma=gadgétiser 
 gadgétiseront ( VERB ) lemma=gadgétiser 
 gadgétises ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gadgétiser 
 gadgétisez ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gadgétiser 
 gadgétisiez ( VERB ) lemma=gadgétiser 
 gadgétisions ( VERB ) lemma=gadgétiser 
 gadgétisons ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gadgétiser 
 gadgétisâmes ( VERB_PAST VERB ) lemma=gadgétiser 
 gadgétisât ( VERB ) lemma=gadgétiser 
 gadgétisâtes ( VERB_PAST VERB ) lemma=gadgétiser 
 gadgétisèrent ( VERB_PAST VERB ) lemma=gadgétiser 
 gadgétisé ( VERB_PAST_PARTICIPLE VERB ) lemma=gadgétiser 
 gadgétisée ( VERB_PAST_PARTICIPLE VERB ) lemma=gadgétiser 
 gadgétisées ( VERB_PAST_PARTICIPLE VERB ) lemma=gadgétiser 
 gadgétisés ( VERB_PAST_PARTICIPLE VERB ) lemma=gadgétiser 
 gadidés ( NOUN NOUN_SINGULAR ) 
 gadiformes ( NOUN NOUN_SINGULAR ) 
 gadin ( NOUN NOUN_SINGULAR ) 
 gadins ( NOUN NOUN_SINGULAR ) lemma=gadin 
 gadjo ( NOUN NOUN_SINGULAR ) 
 gadjos ( NOUN NOUN_SINGULAR ) lemma=gadjo 
 gadolinite ( NOUN NOUN_SINGULAR ) 
 gadolinites ( NOUN NOUN_SINGULAR ) lemma=gadolinite 
 gadolinium ( NOUN NOUN_SINGULAR ) 
 gadoliniums ( NOUN NOUN_SINGULAR ) lemma=gadolinium 
 gadoue ( NOUN NOUN_SINGULAR ) 
 gadoues ( NOUN NOUN_SINGULAR ) lemma=gadoue 
 gadouille ( NOUN NOUN_SINGULAR ) 
 gadouilles ( NOUN NOUN_SINGULAR ) lemma=gadouille 
 gadzarts ( NOUN NOUN_SINGULAR ) 
 gafa ( VERB_PAST VERB ) lemma=gafer 
 gafai ( VERB_PAST VERB ) lemma=gafer 
 gafaient ( VERB ) lemma=gafer 
 gafais ( VERB ) lemma=gafer 
 gafait ( VERB ) lemma=gafer 
 gafant ( VERB_PRESENT_PARTICIPLE VERB ) lemma=gafer 
 gafas ( VERB_PAST VERB ) lemma=gafer 
 gafasse ( VERB ) lemma=gafer 
 gafassent ( VERB ) lemma=gafer 
 gafasses ( VERB ) lemma=gafer 
 gafassiez ( VERB ) lemma=gafer 
 gafassions ( VERB ) lemma=gafer 
 gafe ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gafer 
 gafent ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gafer 
 gafer ( VERB_INFINITIVE VERB ) 
 gafera ( VERB ) lemma=gafer 
 gaferai ( VERB ) lemma=gafer 
 gaferaient ( VERB ) lemma=gafer 
 gaferais ( VERB ) lemma=gafer 
 gaferait ( VERB ) lemma=gafer 
 gaferas ( VERB ) lemma=gafer 
 gaferez ( VERB ) lemma=gafer 
 gaferiez ( VERB ) lemma=gafer 
 gaferions ( VERB ) lemma=gafer 
 gaferons ( VERB ) lemma=gafer 
 gaferont ( VERB ) lemma=gafer 
 gafes ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gafer 
 gafez ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gafer 
 gaffa ( VERB_PAST VERB ) lemma=gaffer 
 gaffai ( VERB_PAST VERB ) lemma=gaffer 
 gaffaient ( VERB ) lemma=gaffer 
 gaffais ( VERB ) lemma=gaffer 
 gaffait ( VERB ) lemma=gaffer 
 gaffant ( VERB_PRESENT_PARTICIPLE VERB ) lemma=gaffer 
 gaffas ( VERB_PAST VERB ) lemma=gaffer 
 gaffasse ( VERB ) lemma=gaffer 
 gaffassent ( VERB ) lemma=gaffer 
 gaffasses ( VERB ) lemma=gaffer 
 gaffassiez ( VERB ) lemma=gaffer 
 gaffassions ( VERB ) lemma=gaffer 
 gaffe ( VERB_PRESENT VERB_PRESENT_3PS NOUN VERB NOUN_SINGULAR ) 
 gaffent ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gaffer 
 gaffer ( VERB_INFINITIVE VERB ) 
 gaffera ( VERB ) lemma=gaffer 
 gafferai ( VERB ) lemma=gaffer 
 gafferaient ( VERB ) lemma=gaffer 
 gafferais ( VERB ) lemma=gaffer 
 gafferait ( VERB ) lemma=gaffer 
 gafferas ( VERB ) lemma=gaffer 
 gafferez ( VERB ) lemma=gaffer 
 gafferiez ( VERB ) lemma=gaffer 
 gafferions ( VERB ) lemma=gaffer 
 gafferons ( VERB ) lemma=gaffer 
 gafferont ( VERB ) lemma=gaffer 
 gaffes ( VERB_PRESENT VERB_PRESENT_3PS NOUN VERB NOUN_SINGULAR ) lemma=gaffe 
 gaffeur ( NOUN NOUN_SINGULAR ) 
 gaffeurs ( NOUN NOUN_SINGULAR ) lemma=gaffeur 
 gaffeuse ( NOUN NOUN_SINGULAR ) lemma=gaffeur 
 gaffeuses ( NOUN NOUN_SINGULAR ) lemma=gaffeur 
 gaffez ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gaffer 
 gaffiez ( VERB ) lemma=gaffer 
 gaffions ( VERB ) lemma=gaffer 
 gaffons ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gaffer 
 gaffâmes ( VERB_PAST VERB ) lemma=gaffer 
 gaffât ( VERB ) lemma=gaffer 
 gaffâtes ( VERB_PAST VERB ) lemma=gaffer 
 gaffèrent ( VERB_PAST VERB ) lemma=gaffer 
 gaffé ( VERB_PAST_PARTICIPLE VERB ) lemma=gaffer 
 gaffée ( VERB_PAST_PARTICIPLE VERB ) lemma=gaffer 
 gaffées ( VERB_PAST_PARTICIPLE VERB ) lemma=gaffer 
 gaffés ( VERB_PAST_PARTICIPLE VERB ) lemma=gaffer 
 gafiez ( VERB ) lemma=gafer 
 gafions ( VERB ) lemma=gafer 
 gafons ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gafer 
 gafâmes ( VERB_PAST VERB ) lemma=gafer 
 gafât ( VERB ) lemma=gafer 
 gafâtes ( VERB_PAST VERB ) lemma=gafer 
 gafèrent ( VERB_PAST VERB ) lemma=gafer 
 gafé ( VERB_PAST_PARTICIPLE VERB ) lemma=gafer 
 gafée ( VERB_PAST_PARTICIPLE VERB ) lemma=gafer 
 gafées ( VERB_PAST_PARTICIPLE VERB ) lemma=gafer 
 gafés ( VERB_PAST_PARTICIPLE VERB ) lemma=gafer 
 gag ( NOUN NOUN_SINGULAR ) 
 gaga ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 gagaku ( NOUN NOUN_SINGULAR ) 
 gagakus ( NOUN NOUN_SINGULAR ) lemma=gagaku 
 gagas ( NOUN NOUN_SINGULAR ) lemma=gaga 
 gagaïsme ( NOUN NOUN_SINGULAR ) 
 gagaïsmes ( NOUN NOUN_SINGULAR ) lemma=gagaïsme 
 gage ( VERB_PRESENT VERB_PRESENT_3PS NOUN VERB NOUN_SINGULAR ) 
 gagea ( VERB_PAST VERB ) lemma=gager 
 gageai ( VERB_PAST VERB ) lemma=gager 
 gageaient ( VERB ) lemma=gager 
 gageais ( VERB ) lemma=gager 
 gageait ( VERB ) lemma=gager 
 gageant ( VERB_PRESENT_PARTICIPLE VERB ) lemma=gager 
 gageas ( VERB_PAST VERB ) lemma=gager 
 gageasse ( VERB ) lemma=gager 
 gageassent ( VERB ) lemma=gager 
 gageasses ( VERB ) lemma=gager 
